company,price,change
Microsoft Corporation (MSFT),428.74,(-0.15%)
International Business Machines Corporation (IBM),190.84,(-0.55%)
General Electric Company (GE),175.15,(-0.84%)
Union Pacific Corporation (UNP),244.97,(-1.27%)
Costco Wholesale Corporation (COST),734.80,(-1.05%)
McDonald's Corporation (MCD),282.63,(-0.32%)
Visa Inc. (V),283.26,(-2.45%)
Walmart Inc. (WMT),60.87,(-0.94%)
The Walt Disney Company (DIS),115.87,(-0.71%)
3M Company (MMM),106.78,(-1.01%)
Intel Corporation (INTC),42.57,(+0.35%)
American Express Company (AXP),225.96,(-1.38%)
Apple Inc. (AAPL),172.28,(+0.53%)
The Boeing Company (BA),188.85,(+0.61%)
"Cisco Systems, Inc. (CSCO)",49.78,(-0.20%)
"The Goldman Sachs Group, Inc. (GS)",406.82,(-1.67%)
JPMorgan Chase & Co. (JPM),196.62,(-1.23%)
"Salesforce, Inc. (CRM)",307.77,(-0.20%)
Verizon Communications Inc. (VZ),40.37,(-0.42%)
